Time_index,Demand-base,Demand-1,Demand-2,Demand-3,Demand-4,Demand-5,Demand-6,Demand-7,Demand-8,Demand-9,Demand-10
45,18237,18237,17054.95379,17541.78418,16777.72586,17369.93706,17276.18833,17853.99092,17065.00265,16793.26773,17309.30049
46,17500,17500,16242.4949,16706.1338,15978.47347,16542.47308,16453.19033,17003.46773,16252.06505,15993.27496,16484.7251
47,16287,16287,15064.38177,15494.39166,14819.51055,15342.6017,15259.79488,15770.15913,15073.25777,14833.23844,15289.04234
48,14758,14758,13565.4858,13952.71,13344.97911,13816.02304,13741.45544,14201.03879,13573.47865,13357.34109,13767.7928
49,12327,12327,12872.36576,13239.80498,12663.12572,13110.10196,13039.34434,13475.44557,12879.95022,12674.85607,13064.33601
50,11485,11485,12057.99745,12402.19067,11861.99494,12280.69329,12214.41215,12622.9235,12065.10207,11872.98317,12237.82273
51,11059,11059,11612.1475,11943.61403,11423.39228,11826.60907,11762.7787,12156.18515,11618.98943,11433.97422,11785.32366
52,10865,10865,11398.29228,11723.65435,11213.01327,11608.80422,11546.14938,11932.31066,11405.00821,11223.40033,11568.27914
53,10875,10875,11364.8774,11689.28565,11180.14155,11574.77221,11512.30105,11897.33027,11371.57364,11190.49815,11534.36593
54,11239,11239,11678.02255,12011.36946,11488.19653,11893.70074,11829.50827,12225.14649,11684.90329,11498.83849,11852.18112
55,12411,12411,12748.25336,13112.14981,12541.03076,12983.69735,12913.62196,13345.5184,12755.76469,12552.64801,12938.37267
56,14606,14606,14751.23662,15172.30785,14511.45557,15023.67317,14942.58766,15442.34291,14759.92812,14524.8981,14971.22715
57,15739,15739,15843.42578,16295.67334,15585.89122,16136.03367,16048.94454,16585.70193,15852.7608,15600.32904,16079.70452
58,15955,15955,15953.21752,16408.59906,15693.8983,16247.85312,16160.16049,16700.6375,15962.61723,15708.43617,16191.13363
59,16109,16109,15929.34975,16384.04999,15670.4185,16223.54455,16135.98311,16675.65151,15938.7354,15684.93462,16166.90991
60,16262,16262,15861.56529,16314.33063,15603.73586,16154.50819,16067.31935,16604.69129,15870.91099,15618.19022,16098.11455
61,16284,16284,15667.75899,16114.99217,15413.07989,15957.12254,15870.99903,16401.80503,15676.99051,15427.35763,15901.41795
62,16228,16228,15401.39468,15841.02454,15151.04532,15685.83881,15601.17947,16122.96135,15410.46925,15165.08033,15631.08125
63,16208,16208,15175.12822,15608.29935,14928.45682,15455.3935,15371.97792,15886.09414,15184.06947,14942.28563,15401.4404
64,16152,16152,14931.67696,15357.89882,14688.96286,15207.44601,15125.36865,15631.23701,14940.47478,14702.56982,15154.35847
65,16300,16300,14840.02473,15263.63039,14598.80043,15114.10107,15032.52751,15535.2908,14848.76854,14612.32387,15061.33939
66,17014,17014,15351.74972,15789.96247,15102.20734,15635.27697,15550.89053,16070.99048,15360.79504,15116.1971,15580.69592
67,18069,18069,16783.81592,17262.90673,16510.99534,17093.79162,17001.5333,17570.15004,16793.70502,16526.29012,17034.11904
68,18100,18100,16980.48635,17465.19108,16704.46889,17294.09429,17200.75491,17776.03462,16990.49133,16719.94289,17233.72249
69,17706,17706,16581.41723,17054.73061,16311.88663,16887.65488,16796.50912,17358.26883,16591.18708,16326.99697,16828.70191
70,17043,17043,15901.66314,16355.57307,15643.18193,16195.3466,16107.93735,16646.66776,15911.03247,15657.67282,16138.8104
71,15947,15947,14816.15696,15239.08132,14575.32063,15089.7925,15008.35013,15510.30481,14824.8867,14588.82232,15037.11567
72,14494,14494,13386.95488,13769.08295,13169.3502,13634.19488,13560.60864,14014.14357,13394.84254,13181.54949,13586.59939
73,13095,13095,12501.93797,12894.15406,11928.67757,12732.83283,11921.38231,12320.09326,11775.65426,11588.14438,11944.23125
74,12313,12313,11755.35412,12045.73816,11134.12114,11972.46053,11107.08816,11478.56503,10971.31412,10796.61217,11128.37641
75,11953,11953,11411.65823,11632.33181,10706.78878,11622.41702,10695.10562,11052.80372,10564.36768,10396.14576,10715.60424
76,11835,11835,11299.00236,11433.97531,10496.40978,11507.68053,10507.48915,10858.91241,10379.04466,10213.77373,10527.62818
77,11892,11892,11353.42087,11443.79494,10499.22735,11563.10409,10517.1601,10868.90681,10388.59739,10223.17435,10537.31767
78,12307,12307,11749.62586,11825.77849,10798.8296,11966.62648,10869.18275,11232.70286,10736.31688,10565.35692,10890.01501
79,13539,13539,12925.82957,13027.701,11860.11656,13164.55317,12002.6183,12404.0462,11855.89722,11667.10959,12025.62295
80,15713,15713,15001.37085,15125.17363,13827.7238,15278.42706,14125.39223,14597.81636,13952.72216,13730.5457,14152.46546
81,16771,16771,16011.45488,16098.29881,14968.84207,16307.16605,15221.11107,15730.18154,15035.04684,14795.63596,15250.28439
82,16891,16891,16126.02018,16107.13647,15083.4235,16423.84722,15430.00363,15946.06052,15241.38587,14998.68935,15459.57732
83,16814,16814,16052.50745,16003.04841,15098.45057,16348.97681,15578.93629,16099.97424,15388.49797,15143.4589,15608.79543
84,16711,16711,15954.17223,15918.59961,15089.05865,16248.82547,15726.90185,16252.88851,15534.65478,15287.28839,15757.04459
85,16514,16514,15766.09421,15733.00863,15055.24774,16057.27388,15748.17794,16274.87618,15555.6708,15307.96975,15778.36146
86,16246,16246,15510.23171,15472.78848,14911.55136,15796.68593,15694.02061,16218.90756,15502.17549,15255.32628,15724.10033
87,16114,16114,15384.20988,15303.89087,14760.34145,15668.33664,15674.67871,16198.91877,15483.07002,15236.52504,15704.72136
88,15986,15986,15262.0069,15069.20175,14466.37435,15543.87672,15620.52138,16142.95014,15429.57472,15183.88157,15650.46023
89,16139,16139,15408.07765,15018.13968,14345.21859,15692.64522,15763.65147,16290.86722,15570.95517,15323.01075,15793.86464
90,16805,16805,16043.91505,15465.91474,14771.61175,16340.22572,16454.15743,17004.46717,16253.02032,15994.21502,16485.69405
91,18110,18110,17289.81265,16854.41019,16079.90621,17609.13346,17474.44284,18058.87606,17260.83368,16985.98044,17507.93498
92,18310,18310,17480.75481,17382.7062,16249.89996,17803.60208,17504.42279,18089.85869,17290.44715,17015.12236,17537.97239
93,17872,17872,17062.59148,17081.24361,15850.74336,17377.7158,17123.38729,17696.07945,16914.06946,16644.73793,17156.20659
94,17156,17156,16379.01854,16508.75927,15213.97119,16681.51814,16482.20319,17033.45092,16280.72325,16021.47682,16513.79356
95,15986,15986,15262.0069,15474.7524,14165.83291,15543.87672,15422.26687,15938.065,15233.74369,14991.16886,15451.82573
96,14447,14447,13792.70698,14068.58161,12794.6126,14047.4407,14017.07757,14485.87911,13845.73155,13625.25876,14043.9432
97,12496,12496,12536.30756,12200.88829,11577.41977,12835.9012,12701.82812,13123.64279,12509.30417,12310.11201,12794.96826
98,11836,11836,11711.43742,11402.5525,10786.6201,12165.95681,11865.29079,12260.12688,11762.28043,11574.98352,11975.23761
99,11463,11463,11309.50418,10955.75941,10386.52431,11807.16221,11470.71595,11839.36277,11418.38203,11236.56119,11564.40334
100,11258,11258,11116.65259,10738.74562,10204.32106,11678.81292,11322.75039,11637.47595,11305.65978,11125.63388,11405.49575
101,11295,11295,11126.1997,10732.85385,10213.71298,11681.72995,11354.66453,11647.47034,11360.11036,11179.21741,11424.87472
102,11605,11605,11497.5822,11050.02784,10555.57887,11844.11125,11712.48975,12036.25239,11756.54879,11569.34314,11804.70263
103,12426,12426,12666.14823,12018.2432,11656.31189,12208.73991,12816.91245,13259.56659,12933.44552,12727.49954,12924.80739
104,13634,13634,14705.4105,13616.87871,13717.83833,12783.39468,14798.49047,15394.3698,15010.20973,14771.19435,15013.8609
105,14565,14565,15651.52891,14827.63889,14781.94287,13436.80924,15807.17075,16384.81455,16020.88891,15765.77995,16051.60501
106,15326,15326,15660.12131,15571.96672,14984.80834,14353.72877,15952.23503,16393.80951,16135.5217,15878.58739,16170.78571
107,15798,15798,15558.92196,15956.89616,15129.44391,15023.67317,15861.32808,16287.8689,16061.96566,15806.20262,16141.71724
108,15999,15999,15476.81683,16222.02612,15273.14028,15352.32513,15827.47975,16201.91709,15963.57251,15709.37623,16104.89719
109,15947,15947,15296.37649,16295.67334,15293.80251,15425.25087,15695.9548,16013.02298,15775.38366,15524.18402,15946.95855
110,15700,15700,15043.37813,16198.45902,15241.20775,15368.85497,15420.33268,15748.17146,15519.37041,15272.2474,15666.93236
111,15415,15415,14879.16787,16145.43302,15222.42391,15189.94384,15201.76916,15576.26783,15393.27433,15148.15921,15457.63943
112,15185,15185,14650.99199,16025.63356,15169.82916,15032.42425,14931.94961,15337.40174,15270.99935,15027.83128,15232.84332
113,15120,15120,14601.34703,15949.04045,15308.82958,15122.85216,14820.73366,15285.43087,15417.15617,15171.66076,15148.54477
114,15586,15586,15036.69515,16246.57519,15979.41266,15777.23907,15280.10387,15741.17538,16053.3682,15797.74206,15600.07489
115,16932,16932,16386.65623,16926.09348,16970.26022,17252.28354,16741.38469,17154.38313,17299.99989,17024.52298,16849.04983
116,17646,17646,16900.29064,16950.64255,16999.37517,17833.74471,17161.104,17692.08169,17491.05455,17212.53538,17019.58481
117,17212,17212,16607.19442,16406.63514,16629.33353,17531.34601,16734.61503,17385.2537,17072.64483,16800.78822,16604.87475
118,16550,16550,16050.59803,15703.54974,16006.64923,16910.99112,16003.49107,16802.58035,16388.66914,16127.70383,16032.22604
119,15530,15530,15045.28755,14792.28823,14977.2948,15896.83727,14841.04266,15750.17034,15270.99935,15027.83128,15191.17852
120,14242,14242,13678.14168,13627.6803,13612.64883,14719.32978,13456.16236,14318.97268,13800.8337,13581.07584,14056.53953
121,13175,13175,11862.28173,12855.85751,12402.03034,12081.36296,12698.92683,13193.60357,11869.27104,11936.90739,12558.54476
122,12382,12382,11086.10185,12026.09891,11607.47391,11290.84802,11863.3566,12504.98961,11092.63383,11121.87363,11838.61584
123,11961,11961,10651.70843,11617.60236,11209.2565,10848.43192,11456.20952,12136.19636,10657.98447,10680.04448,11407.43365
124,11749,11749,10440.71734,11400.58858,11055.22902,10633.54409,11260.8563,12004.27032,10446.86906,10474.1709,11176.82384
125,11744,11744,10434.98908,11394.6968,11074.01286,10627.71003,11270.52725,12007.26864,10441.13742,10437.50849,11123.53166
126,12073,12073,10743.36067,11720.70846,11442.17612,10941.77685,11646.72728,12174.17507,10749.69071,10748.66901,11215.58179
127,13233,13233,11684.70552,12738.02197,12527.88207,11900.50714,12830.45178,12548.96496,11691.5902,11696.25152,11545.02437
128,14974,14974,13238.97471,14478.06012,14552.78002,13483.4817,14896.16709,13139.63382,13246.77517,13234.19296,11969.42392
129,15889,15889,14416.13313,15605.35346,15558.65465,14682.38074,15854.55841,13811.25731,14424.62718,14246.63975,12544.01053
130,15901,15901,15139.80392,16110.08236,15674.17526,15419.41681,15863.26227,14753.72895,15148.72436,14576.60151,13371.49276
131,15804,15804,15514.05055,16423.32851,15645.9995,15800.5753,15760.75018,15442.34291,15523.1915,14620.78443,13909.25932
132,15716,15716,15771.82247,16682.5667,15610.31021,16063.10794,15677.57999,15780.15353,15781.1153,14657.44684,14159.2481
133,15524,15524,15843.42578,16767.0155,15457.22191,16136.03367,15494.799,15855.11151,15852.7608,14585.06207,14245.48454
134,15290,15290,15748.90941,16714.97147,15185.79543,16039.7717,15238.51878,15797.144,15758.18874,14362.26737,14167.96864
135,15159,15159,15697.35503,16632.48659,14982.92995,15987.26517,15072.17841,15613.2471,15706.60398,14221.25807,13902.47668
136,14880,14880,15580.88031,16504.83142,14765.03741,15868.63932,14841.04266,15451.33787,15590.06064,14008.80406,13630.20208
137,14740,14740,15506.41287,16460.64309,14683.32771,15792.79656,14790.75371,15544.28576,15515.54932,13878.13544,13605.00941
138,14955,14955,15795.69024,16773.88924,15120.99118,16087.41651,15231.74912,16216.90868,15804.99713,14135.71243,14060.41533
139,15796,15796,16456.35012,17570.2611,16331.60966,16760.27794,16599.2217,17733.05872,16466.04627,15203.62287,15246.4086
140,16900,16900,16480.21789,18073.02608,16496.90746,16784.58651,17119.51891,18330.72366,16489.92811,15838.16473,16313.22117
141,16641,16641,15951.3081,17712.64572,16094.93328,16245.90844,16822.62069,18019.89791,15960.70669,15505.38278,16011.87811
142,15981,15981,15267.73517,17024.28976,15539.87081,15549.71078,16258.8042,17382.25538,15276.73099,14871.78098,15426.63307
143,14888,14888,14381.76354,15920.56353,14724.65215,14647.37639,15240.45297,16339.83977,14390.23734,13921.37829,14486.75278
144,13425,13425,13249.47653,14493.77152,13624.85832,13494.17748,13855.57267,15129.51828,13257.28318,12640.07377,13372.46171
145,11591,11591,12578.31483,12937.36042,12697.87582,12095.94811,12016.15764,12418.03836,11883.60014,11680.27046,12054.69141
146,10798,10798,11821.22917,12158.66389,11984.0899,11325.85238,11229.90925,11605.49387,11127.02367,10916.00005,11418.09208
147,10316,10316,11419.29592,11745.25753,11667.5822,10855.23832,10789.88094,11150.74881,10664.67138,10488.27183,11103.18374
148,10058,10058,11216.89723,11537.08141,11539.85209,10598.53974,10576.15291,10929.87263,10412.47922,10280.51813,11003.38202
149,9923,9923,11212.12367,11532.1716,11593.38603,10499.36074,10570.35034,10923.87599,10315.04135,10274.87776,11082.83581
150,9967,9967,11526.22353,11855.23737,11985.96829,10575.20351,10882.72208,11246.69502,10389.55266,10578.51779,11512.08011
151,10214,10214,12633.68806,12994.31427,13134.6001,10857.183,11836.27793,12232.14257,10666.58193,11505.41893,12714.54551
152,10721,10721,14295.83957,14703.91157,14866.47015,11317.10129,13410.70889,13859.23041,11118.42621,13035.83988,14549.73445
153,11302,11302,15169.39995,15602.40757,15785.93911,11998.7138,14603.13725,15091.53957,11788.07281,14194.93634,15582.63381
154,12170,12170,15180.85648,15614.19113,15845.10821,12958.41643,15336.19539,15849.11487,12730.92758,14907.50334,15797.74044
155,12889,12889,15088.24954,15518.94073,15724.89163,13714.89936,15715.29671,16240.89523,13474.13023,15276.00765,15843.28103
156,13196,13196,15004.23498,15432.528,15631.91162,14060.08116,15976.41241,16510.74396,13813.25226,15529.82439,15883.00793
157,13244,13244,14820.93051,15243.99113,15486.33686,14193.29216,16048.94454,16585.70193,13944.1247,15600.32904,15771.57882
158,13107,13107,14597.52818,15014.21183,15217.72795,14160.2325,15953.20212,16486.7574,13911.64541,15507.2629,15560.34799
159,12864,12864,14472.46107,14885.5747,15034.58551,13942.42764,15900.97898,16432.78766,13697.66418,15456.49955,15370.43404
160,12650,12650,14206.09675,14611.60707,14755.64549,13808.2443,15782.99337,16310.85601,13565.83646,15341.81199,15108.81788
161,12534,12534,14072.43724,14474.13227,14632.61134,13816.99539,15707.55994,16232.89972,13574.43392,15268.48715,15039.05357
162,12683,12683,14277.70006,14685.25428,14878.67964,14147.59204,16000.58978,16535.72995,13899.22685,15553.32594,15381.09247
163,13006,13006,15080.61185,15511.08503,15724.89163,15104.37764,16669.81965,17227.34223,14839.2158,16203.84885,16417.86764
164,13443,13443,16134.61258,16595.172,16820.92869,16143.81241,16693.99703,17252.32822,15860.40299,16227.3504,17588.35773
165,14529,14529,15887.34248,16340.84363,16673.47555,15900.72664,16158.2263,16698.63862,15621.58466,15706.55605,17364.53057
166,14338,14338,15257.23335,15692.74815,16102.44682,15306.62501,15465.78615,15983.03979,15037.91266,15033.47165,16748.27916
167,13347,13347,14213.73444,14619.46277,15033.64632,14337.19894,14568.32182,15055.55974,14085.50515,14161.0941,15688.24923
168,12090,12090,12816.99253,13182.85113,13622.97994,13148.02334,13421.34693,13870.22425,12917.20588,13046.18056,14295.86987
169,11436,11436,12010.26191,12353.09253,11815.03534,11270.42882,11770.51546,12572.95151,12585.72604,11694.37139,12765.8998
170,10674,10674,11311.4136,11634.29573,11127.5468,10499.36074,10903.03108,11841.36165,11828.19429,10949.84228,11997.52344
171,10277,10277,11100.42251,11417.28195,10919.98537,10030.69137,10414.64801,11620.48547,11426.02422,10494.85227,11589.59601
172,10119,10119,10890.38613,11201.25012,10713.36313,9779.826854,10210.59093,11400.60873,11223.50628,10246.6759,11384.17888
173,10157,10157,10699.44397,11004.85755,10525.52473,9648.560536,10152.56522,11200.72079,11218.72991,10150.78957,11379.33413
174,10515,10515,10641.20661,10944.95782,10468.23402,9691.343632,10400.14159,11139.75497,11533.01483,10224.11441,11698.11827
175,11684,11684,10801.59803,11109.92758,10626.01827,9931.512376,11398.18381,11307.66084,12641.13189,10496.73239,12822.09882
176,13714,13714,11189.21061,11508.60449,11007.33022,10424.49033,13313.03227,11713.43336,14304.26274,10941.38172,14509.0386
177,14938,14938,11621.69461,11953.43366,11432.7842,10989.42166,14518.03287,12166.17955,15178.33783,11600.36519,15395.62671
178,15296,15296,12281.39977,12631.96998,12081.76587,11833.41547,14901.00256,12856.79239,15189.80111,12528.20639,15407.25409
179,15461,15461,12892.41469,13260.4262,12682.84875,12532.53016,15100.22417,13496.4338,15097.1396,13259.57464,15313.26606
180,15552,15552,13219.88049,13597.23945,13004.9916,12831.03949,15272.36711,13839.24162,15013.07555,13593.29665,15227.99857
181,15439,15439,13298.16678,13677.7604,13082.00535,12877.71196,15294.6103,13921.19568,14829.66307,13722.08514,15041.96041
182,15205,15205,13203.65041,13580.54608,12989.02534,12744.50095,15184.36145,13822.25114,14606.12911,13690.12304,14815.2264
183,15042,15042,12937.2861,13306.57845,12726.99077,12508.22158,15114.7306,13543.40747,14480.98831,13479.54915,14688.29412
184,14771,14771,12625.09566,12985.4766,12419.87499,12300.14016,14923.24575,13216.59068,14214.46705,13349.82059,14417.95742
185,14550,14550,12430.33466,12785.15618,12228.27982,12187.34836,14779.14857,13012.70498,14080.72879,13358.28115,14282.30459
186,14534,14534,12494.30028,12850.94769,12291.20569,12332.22748,14751.10281,13079.66744,14286.11255,13677.90223,14490.62857
187,14748,14748,12849.4527,13216.23787,12640.58511,12646.2943,14792.6879,13451.45901,15089.49742,14602.92325,15305.51447
188,14914,14914,13487.19952,13872.18905,13267.96536,13071.20823,14937.75218,14119.08474,16144.11916,15607.84953,16375.23389
189,15733,15733,14594.66405,15011.26594,14357.42808,14127.17283,15305.24835,15278.4348,15896.70337,15372.83403,16124.27617
190,15796,15796,14376.98999,14787.37841,14143.29231,13941.4553,14887.46323,15050.56254,15266.22298,14798.45615,15484.76999
191,14848,14848,13500.56547,13885.93653,13281.11405,12977.86329,14109.9187,14133.07689,14222.10924,13861.21432,14425.70901
192,13422,13422,12378.78028,12732.13019,12177.56345,11755.62802,13012.26567,12958.73524,12824.54437,12711.51849,13008.13698
193,10919,10919,11301.86649,11624.4761,11118.15488,11489.20602,11427.19667,11831.36725,12017.33841,12385.31697,11793.07525
194,10213,10213,10408.25718,10705.35889,10239.07117,10645.21221,10587.75805,10895.89168,11318.07833,11639.8478,10923.92822
195,9858,9858,9882.211525,10164.29736,9721.576377,10187.23861,10132.25622,10345.2004,11106.96293,11244.08169,10434.6091
196,9729,9729,9586.251176,9859.888881,9430.426858,9962.627355,9908.857234,10035.3741,10896.8028,11044.78854,10230.16091
197,9740,9740,9486.006542,9756.782782,9331.811698,9918.871916,9865.337951,9930.432926,10705.74813,11040.08823,10172.02399
198,10091,10091,9681.722256,9958.085165,9524.346058,10214.46422,10159.33489,10135.31807,10647.47646,11349.36863,10420.07487
199,11226,11226,10550.50909,10851.67135,10379.01078,11234.45212,11173.81773,11044.8082,10807.96238,12439.84056,11420.02998
200,13078,13078,12310.99581,12662.41083,12110.88082,13192.75112,13121.54743,12887.77502,11195.80335,14076.48852,13338.54851
201,14343,14343,13430.87158,13814.25324,13212.55304,14349.8394,14272.39069,14060.11779,11628.54217,14936.64526,14545.85865
202,14779,14779,13886.26863,14282.64951,13660.54762,14671.68497,14592.4992,14536.85053,12288.63603,14947.926,14929.56236
203,14985,14985,14179.36485,14584.11211,13948.87956,14897.26856,14816.86528,14843.67852,12900.01096,14856.73999,15129.1658
204,15138,15138,14415.17842,14826.65693,14180.85999,15071.31798,14989.97532,15090.54013,13227.66971,14774.01453,15301.63868
205,15137,15137,14478.18933,14891.46647,14242.84666,15109.23936,15027.69203,15156.50315,13306.00212,14593.52263,15323.9245
206,15033,15033,14395.12949,14806.03571,14161.13695,15007.14333,14926.14704,15069.5519,13211.43006,14373.54812,15213.46434
207,14918,14918,14400.85776,14811.92748,14166.77211,14924.49417,14843.94395,15075.54854,12944.9088,14250.39999,15143.70003
208,14687,14687,14265.28882,14672.48876,14033.40684,14694.04886,14614.74239,14933.6281,12632.53443,13988.12269,14951.84818
209,14515,14515,14097.25972,14499.6633,13868.10905,14601.67626,14522.86835,14757.72671,12437.65867,13856.51401,14807.47481
210,14519,14519,14010.38104,14410.30468,13782.64258,14718.35744,14638.91977,14666.7777,12501.66198,14058.62734,14779.3753
211,14700,14700,13848.0802,14243.371,13622.97994,14998.39225,14917.44318,14496.87295,12857.02366,14849.21949,14821.0401
212,14828,14828,13604.62895,13992.97048,13383.48598,15272.593,15190.16402,14242.01582,13495.14624,15887.04795,14966.38241
213,15444,15444,14187.95725,14592.94977,13957.33229,15782.10078,15696.9219,14852.67348,14603.26329,15643.57189,15334.58293
214,15463,15463,13922.54764,14319.9641,13696.23692,15485.53614,15401.95787,14574.82924,14385.46098,15023.13097,14915.99707
215,14413,14413,13090.99453,13464.67447,12878.20068,14482.07806,14403.91564,13704.31726,13508.52007,13995.64319,14136.96228
216,12914,12914,12006.44306,12349.16468,11811.27857,13062.45714,12991.95667,12568.95375,12386.07391,12620.33247,13037.20545
217,11209,11209,10669.84794,11602.87292,10740.5997,11248.06493,11187.35706,11809.37957,11308.5256,11825.98007,11208.79915
218,10360,10360,9918.490535,10750.52918,10024.93539,10447.82656,10391.43773,10941.86591,10414.38977,11137.85468,10411.35433
219,9874,9874,9504.146047,10288.02468,9652.07617,10033.6084,9979.455182,10471.12981,9888.03417,10930.10098,9998.582162
220,9621,9621,9329.43397,10061.19126,9503.683834,9840.112125,9787.003241,10240.25924,9591.89944,10723.28734,9805.761361
221,9579,9579,9338.981078,10017.00294,9539.37313,9842.056812,9788.937431,10195.28445,9491.595741,10535.27493,9807.699258
222,9853,9853,9682.676967,10315.51964,9875.603865,10186.26627,10131.28913,10499.11412,9687.426772,10477.93115,10150.70712
223,10736,10736,10752.90778,11345.59866,10973.51931,11295.70974,11234.74473,11547.52637,10556.7255,10635.86157,11256.27764
